Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066006,1907,02,63.0,Y
IDCJAC0001,066006,1907,03,203.7,Y
IDCJAC0001,066006,1907,04,35.1,Y
IDCJAC0001,066006,1907,05,38.6,Y
IDCJAC0001,066006,1907,06,254.5,Y
IDCJAC0001,066006,1907,07,11.2,Y
IDCJAC0001,066006,1907,08,7.6,Y
IDCJAC0001,066006,1907,09,7.1,Y
IDCJAC0001,066006,1907,10,14.5,Y
IDCJAC0001,066006,1907,11,52.3,Y
IDCJAC0001,066006,1907,12,45.2,Y
IDCJAC0001,066006,1908,01,43.9,Y
IDCJAC0001,066006,1908,02,182.1,Y
IDCJAC0001,066006,1908,03,70.4,Y
IDCJAC0001,066006,1908,04,73.4,Y
IDCJAC0001,066006,1908,05,67.1,Y
IDCJAC0001,066006,1908,06,25.4,Y
IDCJAC0001,066006,1908,07,290.1,Y
IDCJAC0001,066006,1908,08,243.8,Y
IDCJAC0001,066006,1908,09,75.4,Y
IDCJAC0001,066006,1908,10,38.1,Y
IDCJAC0001,066006,1908,11,16.5,Y
IDCJAC0001,066006,1908,12,31.8,Y
IDCJAC0001,066006,1909,01,32.5,Y
IDCJAC0001,066006,1909,02,202.7,Y
IDCJAC0001,066006,1909,03,34.8,Y
IDCJAC0001,066006,1909,04,34.8,Y
IDCJAC0001,066006,1909,05,30.7,Y
IDCJAC0001,066006,1909,06,117.6,Y
IDCJAC0001,066006,1909,07,22.8,Y
IDCJAC0001,066006,1909,08,56.7,Y
IDCJAC0001,066006,1909,09,132.3,Y
IDCJAC0001,066006,1909,10,66.9,Y
IDCJAC0001,066006,1909,11,23.1,Y
IDCJAC0001,066006,1909,12,86.4,Y
IDCJAC0001,066006,1910,01,128.2,Y
IDCJAC0001,066006,1910,02,11.8,Y
IDCJAC0001,066006,1910,03,184.5,Y
IDCJAC0001,066006,1910,04,94.7,Y
IDCJAC0001,066006,1910,05,68.2,Y
IDCJAC0001,066006,1910,06,78.8,Y
IDCJAC0001,066006,1910,07,225.7,Y
IDCJAC0001,066006,1910,08,5.8,Y
IDCJAC0001,066006,1910,09,53.1,Y
IDCJAC0001,066006,1910,10,84.0,Y
IDCJAC0001,066006,1910,11,4.9,Y
IDCJAC0001,066006,1910,12,214.0,Y
IDCJAC0001,066006,1911,01,369.0,Y
IDCJAC0001,066006,1911,02,131.9,Y
IDCJAC0001,066006,1911,03,48.6,Y
IDCJAC0001,066006,1911,04,77.0,Y
IDCJAC0001,066006,1911,05,40.0,Y
IDCJAC0001,066006,1911,06,4.0,Y
IDCJAC0001,066006,1911,07,188.1,Y
IDCJAC0001,066006,1911,08,202.7,Y
IDCJAC0001,066006,1911,09,47.0,Y
IDCJAC0001,066006,1911,10,17.9,Y
IDCJAC0001,066006,1911,11,46.0,Y
IDCJAC0001,066006,1911,12,70.1,Y
IDCJAC0001,066006,1912,01,31.6,Y
IDCJAC0001,066006,1912,02,162.3,Y
IDCJAC0001,066006,1912,03,219.5,Y
IDCJAC0001,066006,1912,04,121.1,Y
IDCJAC0001,066006,1912,05,84.4,Y
IDCJAC0001,066006,1912,06,58.3,Y
IDCJAC0001,066006,1912,07,286.2,Y
IDCJAC0001,066006,1912,08,46.4,Y
IDCJAC0001,066006,1912,09,11.2,Y
IDCJAC0001,066006,1912,10,25.2,Y
IDCJAC0001,066006,1912,11,80.0,Y
IDCJAC0001,066006,1912,12,53.0,Y
IDCJAC0001,066006,1913,01,20.4,Y
IDCJAC0001,066006,1913,02,38.3,Y
IDCJAC0001,066006,1913,03,207.6,Y
IDCJAC0001,066006,1913,04,243.4,Y
IDCJAC0001,066006,1913,05,416.2,Y
IDCJAC0001,066006,1913,06,278.3,Y
IDCJAC0001,066006,1913,07,194.3,Y
IDCJAC0001,066006,1913,08,1.8,Y
IDCJAC0001,066006,1913,09,35.7,Y
IDCJAC0001,066006,1913,10,26.7,Y
IDCJAC0001,066006,1913,11,16.3,Y
IDCJAC0001,066006,1913,12,5.0,Y
IDCJAC0001,066006,1914,01,17.8,Y
IDCJAC0001,066006,1914,02,39.6,Y
IDCJAC0001,066006,1914,03,250.2,Y
IDCJAC0001,066006,1914,04,37.1,Y
IDCJAC0001,066006,1914,05,79.0,Y
IDCJAC0001,066006,1914,06,153.5,Y
IDCJAC0001,066006,1914,07,228.8,Y
IDCJAC0001,066006,1914,08,58.5,Y
IDCJAC0001,066006,1914,09,161.0,Y
IDCJAC0001,066006,1914,10,191.6,Y
IDCJAC0001,066006,1914,11,61.8,Y
IDCJAC0001,066006,1914,12,221.0,Y
IDCJAC0001,066006,1915,01,34.8,Y
IDCJAC0001,066006,1915,02,35.1,Y
IDCJAC0001,066006,1915,03,82.4,Y
IDCJAC0001,066006,1915,04,309.8,Y
IDCJAC0001,066006,1915,05,141.2,Y
IDCJAC0001,066006,1915,06,42.2,Y
IDCJAC0001,066006,1915,07,146.1,Y
IDCJAC0001,066006,1915,08,31.2,Y
IDCJAC0001,066006,1915,09,42.2,Y
IDCJAC0001,066006,1915,10,24.6,Y
IDCJAC0001,066006,1915,11,1.4,Y
IDCJAC0001,066006,1915,12,85.0,Y
IDCJAC0001,066006,1916,01,36.9,Y
IDCJAC0001,066006,1916,02,70.3,Y
IDCJAC0001,066006,1916,03,97.4,Y
IDCJAC0001,066006,1916,04,114.8,Y
IDCJAC0001,066006,1916,05,51.9,Y
IDCJAC0001,066006,1916,06,52.1,Y
IDCJAC0001,066006,1916,07,90.6,Y
IDCJAC0001,066006,1916,08,73.1,Y
IDCJAC0001,066006,1916,09,119.3,Y
IDCJAC0001,066006,1916,10,208.9,Y
IDCJAC0001,066006,1916,11,79.0,Y
IDCJAC0001,066006,1916,12,81.6,Y
IDCJAC0001,066006,1917,01,76.5,Y
IDCJAC0001,066006,1917,02,160.0,Y
IDCJAC0001,066006,1917,03,29.8,Y
IDCJAC0001,066006,1917,04,340.9,Y
IDCJAC0001,066006,1917,05,79.6,Y
IDCJAC0001,066006,1917,06,110.7,Y
IDCJAC0001,066006,1917,07,8.9,Y
IDCJAC0001,066006,1917,08,39.7,Y
IDCJAC0001,066006,1917,09,148.6,Y
IDCJAC0001,066006,1917,10,127.7,Y
IDCJAC0001,066006,1917,11,179.4,Y
IDCJAC0001,066006,1917,12,51.6,Y
IDCJAC0001,066006,1918,01,317.5,Y
IDCJAC0001,066006,1918,02,105.7,Y
IDCJAC0001,066006,1918,03,62.4,Y
IDCJAC0001,066006,1918,04,142.0,Y
IDCJAC0001,066006,1918,05,13.2,Y
IDCJAC0001,066006,1918,06,12.5,Y
