"Product.code","Station.number","Year","Month","Rainfall","Quality"
"IDCJAC0001",66006,1981,12,66.2,"Y"
"IDCJAC0001",66006,1982,1,51.2,"Y"
"IDCJAC0001",66006,1982,2,31.4,"Y"
"IDCJAC0001",66006,1982,3,164.8,"Y"
"IDCJAC0001",66006,1982,4,20.2,"Y"
"IDCJAC0001",66006,1982,5,15.8,"Y"
"IDCJAC0001",66006,1982,6,125.4,"Y"
"IDCJAC0001",66006,1982,7,160.8,"Y"
"IDCJAC0001",66006,1982,8,23.9,"Y"
"IDCJAC0001",66006,1982,9,208.5,"Y"
"IDCJAC0001",66006,1982,10,51.2,"Y"
"IDCJAC0001",66006,1982,11,20,"Y"
"IDCJAC0001",66006,1982,12,22.2,"Y"
"IDCJAC0001",66006,1983,1,42.6,"Y"
"IDCJAC0001",66006,1983,2,50.2,"Y"
"IDCJAC0001",66006,1983,3,310.2,"Y"
"IDCJAC0001",66006,1983,4,157.8,"Y"
"IDCJAC0001",66006,1983,5,203.2,"Y"
"IDCJAC0001",66006,1983,6,78.6,"Y"
"IDCJAC0001",66006,1983,7,40.6,"Y"
"IDCJAC0001",66006,1983,8,145.4,"Y"
"IDCJAC0001",66006,1983,9,46.6,"Y"
"IDCJAC0001",66006,1983,10,158,"Y"
"IDCJAC0001",66006,1983,11,35,"Y"
"IDCJAC0001",66006,1983,12,103.2,"Y"
"IDCJAC0001",66006,1984,1,191.2,"Y"
"IDCJAC0001",66006,1984,2,130.5,"Y"
"IDCJAC0001",66006,1984,3,276.6,"Y"
"IDCJAC0001",66006,1984,4,100.6,"Y"
"IDCJAC0001",66006,1984,5,142.5,"Y"
"IDCJAC0001",66006,1984,6,89.8,"Y"
"IDCJAC0001",66006,1984,7,150.8,"Y"
"IDCJAC0001",66006,1984,8,8.8,"Y"
"IDCJAC0001",66006,1984,9,52.4,"Y"
"IDCJAC0001",66006,1984,10,54,"Y"
"IDCJAC0001",66006,1984,11,517.3,"Y"
"IDCJAC0001",66006,1984,12,97.9,"Y"
"IDCJAC0001",66006,1985,1,2.2,"Y"
"IDCJAC0001",66006,1985,2,54.9,"Y"
"IDCJAC0001",66006,1985,3,87,"Y"
"IDCJAC0001",66006,1985,4,297.4,"Y"
"IDCJAC0001",66006,1985,5,128.8,"Y"
"IDCJAC0001",66006,1985,6,123.8,"Y"
"IDCJAC0001",66006,1985,7,83.6,"Y"
"IDCJAC0001",66006,1985,8,27.5,"Y"
"IDCJAC0001",66006,1985,9,76.2,"Y"
"IDCJAC0001",66006,1985,10,140,"Y"
"IDCJAC0001",66006,1985,11,63,"Y"
"IDCJAC0001",66006,1985,12,91,"Y"
"IDCJAC0001",66006,1986,1,202.1,"Y"
"IDCJAC0001",66006,1986,2,90.2,"Y"
"IDCJAC0001",66006,1986,3,18.6,"Y"
